CPE dependency name,CVE ID,Number of CVE ID occurrences,CVE severity,Number of Issues,Issues
icu-project:international_components_for_unicode,CVE-2020-10531,1,high,6,"https://api.github.com/repos/tensorflow/tensorflow/issues/54184, https://api.github.com/repos/tensorflow/tensorflow/issues/54185, https://api.github.com/repos/tensorflow/tensorflow/issues/52914, https://api.github.com/repos/tensorflow/tensorflow/issues/54186, https://api.github.com/repos/tensorflow/tensorflow/issues/54183, https://api.github.com/repos/tensorflow/tensorflow/issues/54182"
schedmd:slurm,"CVE-2020-12693, CVE-2020-27745, CVE-2020-27746, CVE-2021-31215, CVE-2022-29500",5,"high, critical, low",1,https://api.github.com/repos/triton-inference-server/server/issues/5383
numfocus:pandas,CVE-2020-13091,1,critical,3,"https://api.github.com/repos/pandas-dev/pandas/issues/36256, https://api.github.com/repos/pandas-dev/pandas/issues/48049, https://api.github.com/repos/pandas-dev/pandas/issues/60657"
systemd_project:systemd,"CVE-2020-13529, CVE-2021-33910, CVE-2021-3997, CVE-2022-3821",4,medium,2,"https://api.github.com/repos/triton-inference-server/server/issues/5383, https://api.github.com/repos/mlrun/mlrun/issues/1997"
elliptic_project:elliptic,"CVE-2020-13822, CVE-2020-28498",2,"high, medium",2,"https://api.github.com/repos/guess-js/guess/issues/530, https://api.github.com/repos/guess-js/guess/issues/552"
openbsd:openssh,"CVE-2020-14145, CVE-2023-48795",2,medium,2,"https://api.github.com/repos/nmap/nmap/issues/2619, https://api.github.com/repos/kserve/kserve/issues/3442"
redislabs:redis,CVE-2020-14147,1,high,1,https://api.github.com/repos/ray-project/ray/issues/11765
ijg:libjpeg,"CVE-2020-14152, CVE-2020-14153",2,high,1,https://api.github.com/repos/davisking/dlib/issues/2618
pyyaml:pyyaml,"CVE-2020-14343, CVE-2020-1747",2,critical,4,"https://api.github.com/repos/feast-dev/feast/issues/2496, https://api.github.com/repos/feast-dev/feast/issues/2495, https://api.github.com/repos/iterative/dvc/issues/3544, https://api.github.com/repos/feast-dev/feast/issues/1738"
oracle:weblogic_server,CVE-2020-14882,1,critical,1,https://api.github.com/repos/nmap/nmap/issues/2169
object-path_project:object-path,"CVE-2020-15256, CVE-2021-23434, CVE-2021-3805",3,"high, critical",1,https://api.github.com/repos/guess-js/guess/issues/520
ajv.js:ajv,CVE-2020-15366,1,medium,3,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102, https://api.github.com/repos/guess-js/guess/issues/549"
lua:lua,"CVE-2020-15888, CVE-2020-15889, CVE-2020-15945, CVE-2020-24342",4,"high, critical, medium",1,https://api.github.com/repos/ray-project/ray/issues/11765
ffmpeg:ffmpeg,"CVE-2020-20445, CVE-2020-20446, CVE-2020-20450, CVE-2020-20453, CVE-2020-21688, CVE-2020-21697, CVE-2020-22037, CVE-2020-22042, CVE-2021-38114, CVE-2021-38171, CVE-2021-38291",11,"high, medium, critical",2,"https://api.github.com/repos/NVIDIA/DALI/issues/3315, https://api.github.com/repos/jonaswinkler/paperless-ng/issues/1448"
ieee:ieee_802.11,"CVE-2020-24586, CVE-2020-24587, CVE-2020-24588",3,low,1,https://api.github.com/repos/RasaHQ/rasa/issues/9004
python-cryptography_project:python-cryptography,CVE-2020-25659,1,medium,1,https://api.github.com/repos/devAmoghS/Machine-Learning-with-Python/issues/7
netbsd:netbsd,CVE-2020-26139,1,medium,1,https://api.github.com/repos/RasaHQ/rasa/issues/9004
jupyter:jupyter_server,CVE-2020-26232,1,medium,1,https://api.github.com/repos/jupyter-server/jupyter_server/issues/345
civetweb_project:civetweb,CVE-2020-27304,1,critical,1,https://api.github.com/repos/isl-org/Open3D/issues/5926
gulpjs:glob-parent,CVE-2020-28469,1,high,3,"https://api.github.com/repos/guess-js/guess/issues/531, https://api.github.com/repos/elyra-ai/elyra/issues/2575, https://api.github.com/repos/guess-js/guess/issues/553"
immer_project:immer,"CVE-2020-28477, CVE-2021-23436, CVE-2021-3757",3,"high, critical",1,https://api.github.com/repos/elyra-ai/elyra/issues/2575
musl-libc:musl,CVE-2020-28928,1,medium,3,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102, https://api.github.com/repos/kubeflow/pipelines/issues/8943"
gjson_project:gjson,"CVE-2020-35380, CVE-2020-36066, CVE-2020-36067, CVE-2021-42836",4,high,1,https://api.github.com/repos/kubeflow/katib/issues/1888
python:pillow,"CVE-2020-35653, CVE-2020-35654, CVE-2020-35655, CVE-2021-23437, CVE-2021-25287, CVE-2021-25289, CVE-2021-25290, CVE-2021-25291, CVE-2021-25292, CVE-2021-25293, CVE-2021-28675, CVE-2021-28676, CVE-2021-28677, CVE-2021-28678, CVE-2021-34552, CVE-2022-22815, CVE-2022-22816, CVE-2022-22817, CVE-2022-24303, CVE-2022-30595, CVE-2022-45198, CVE-2022-45199, CVE-2023-44271, CVE-2023-50447",24,"high, medium, critical",16,"https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031, https://api.github.com/repos/jfkirk/tensorrec/issues/169, https://api.github.com/repos/triton-inference-server/server/issues/6222, https://api.github.com/repos/BindsNET/bindsnet/issues/535, https://api.github.com/repos/autogluon/autogluon/issues/1615, https://api.github.com/repos/LibrePhotos/librephotos/issues/681, https://api.github.com/repos/x4nth055/pythoncode-tutorials/issues/89, https://api.github.com/repos/BindsNET/bindsnet/issues/554, https://api.github.com/repos/jfkirk/tensorrec/issues/164, https://api.github.com/repos/azavea/raster-vision/issues/2032, https://api.github.com/repos/jfkirk/tensorrec/issues/170, https://api.github.com/repos/jfkirk/tensorrec/issues/171, https://api.github.com/repos/jonaswinkler/paperless-ng/issues/1448, https://api.github.com/repos/kserve/kserve/issues/3441, https://api.github.com/repos/pytorch/serve/issues/1118, https://api.github.com/repos/jfkirk/tensorrec/issues/165"
cryptography_project:cryptography,"CVE-2020-36242, CVE-2023-38325, CVE-2023-49083",3,"high, critical",3,"https://api.github.com/repos/kserve/kserve/issues/3157, https://api.github.com/repos/kserve/kserve/issues/3441, https://api.github.com/repos/devAmoghS/Machine-Learning-with-Python/issues/9"
hapijs:hoek,CVE-2020-36604,1,high,1,https://api.github.com/repos/guess-js/guess/issues/565
google:chrome,"CVE-2020-6532, CVE-2020-6537, CVE-2023-4863",3,high,4,"https://api.github.com/repos/tesseract-ocr/tesseract/issues/4140, https://api.github.com/repos/tesseract-ocr/tesseract/issues/4134, https://api.github.com/repos/kserve/kserve/issues/3441, https://api.github.com/repos/alan-ai/alan-sdk-web/issues/39"
verizon:serialize-javascript,CVE-2020-7660,1,high,2,"https://api.github.com/repos/guess-js/guess/issues/555, https://api.github.com/repos/guess-js/guess/issues/538"
websocket-extensions_project:websocket-extensions,CVE-2020-7662,1,high,5,"https://api.github.com/repos/alan-ai/alan-sdk-web/issues/9, https://api.github.com/repos/alan-ai/alan-sdk-web/issues/8, https://api.github.com/repos/alan-ai/alan-sdk-web/issues/6, https://api.github.com/repos/alan-ai/alan-sdk-web/issues/7, https://api.github.com/repos/alan-ai/alan-sdk-web/issues/5"
chartjs:chart.js,CVE-2020-7746,1,critical,2,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102"
trim_project:trim,CVE-2020-7753,1,high,1,https://api.github.com/repos/apache/airflow/issues/15784
y18n_project:y18n,CVE-2020-7774,1,critical,2,"https://api.github.com/repos/guess-js/guess/issues/542, https://api.github.com/repos/guess-js/guess/issues/557"
ini_project:ini,CVE-2020-7788,1,critical,1,https://api.github.com/repos/guess-js/guess/issues/532
node-notifier_project:node-notifier,CVE-2020-7789,1,medium,1,https://api.github.com/repos/guess-js/guess/issues/537
bufferlist_project:bufferlist,CVE-2020-8244,1,medium,1,https://api.github.com/repos/pytorch/opacus/issues/61
jsdom_project:jsdom,CVE-2021-20066,1,medium,1,https://api.github.com/repos/guess-js/guess/issues/560
exiftool_project:exiftool,CVE-2021-22204,1,high,1,https://api.github.com/repos/photoprism/photoprism/issues/1302
google:protobuf-kotlin,CVE-2021-22569,1,medium,1,https://api.github.com/repos/open-metadata/OpenMetadata/issues/2530
google:oauth_client_library_for_java,CVE-2021-22573,1,high,2,"https://api.github.com/repos/h2oai/h2o-3/issues/6263, https://api.github.com/repos/h2oai/h2o-3/issues/6595"
path-parse_project:path-parse,CVE-2021-23343,1,high,4,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102, https://api.github.com/repos/guess-js/guess/issues/554, https://api.github.com/repos/guess-js/guess/issues/516"
underscorejs:underscore,CVE-2021-23358,1,high,1,https://api.github.com/repos/Hitachi-Automotive-And-Industry-Lab/semantic-segmentation-editor/issues/132
npmjs:hosted-git-info,CVE-2021-23362,1,medium,1,https://api.github.com/repos/guess-js/guess/issues/502
ansi-html_project:ansi-html,CVE-2021-23424,1,high,1,https://api.github.com/repos/elyra-ai/elyra/issues/2575
trim-off-newlines_project:trim-off-newlines,CVE-2021-23425,1,medium,1,https://api.github.com/repos/guess-js/guess/issues/548
nanoid_project:nanoid,CVE-2021-23566,1,medium,1,https://api.github.com/repos/guess-js/guess/issues/550
celeryproject:celery,CVE-2021-23727,1,high,1,https://api.github.com/repos/FedML-AI/FedML/issues/167
facebook:zstandard,CVE-2021-24032,1,medium,1,https://api.github.com/repos/recommenders-team/recommenders/issues/1701
facebook:react-dev-utils,CVE-2021-24033,1,medium,1,https://api.github.com/repos/elyra-ai/elyra/issues/2575
set-getter_project:set-getter,CVE-2021-25949,1,critical,1,https://api.github.com/repos/guess-js/guess/issues/539
merge-deep_project:merge-deep,CVE-2021-26707,1,critical,1,https://api.github.com/repos/guess-js/guess/issues/534
ssri_project:ssri,CVE-2021-27290,1,high,3,"https://api.github.com/repos/guess-js/guess/issues/556, https://api.github.com/repos/guess-js/guess/issues/541, https://api.github.com/repos/jupyterlab/jupyterlab/issues/10818"
opener_project:opener,"CVE-2021-27478, CVE-2021-27482, CVE-2021-27498, CVE-2021-27500",4,high,1,https://api.github.com/repos/LibrePhotos/librephotos/issues/681
url-parse_project:url-parse,CVE-2021-27515,1,medium,1,https://api.github.com/repos/jupyterlab/jupyterlab/issues/10753
mpmath:mpmath,CVE-2021-29063,1,high,2,"https://api.github.com/repos/mosaicml/composer/issues/2007, https://api.github.com/repos/pytorch/pytorch/issues/118128"
apache:commons_io,CVE-2021-29425,1,medium,1,https://api.github.com/repos/ray-project/ray/issues/16638
pydantic_project:pydantic,CVE-2021-29510,1,high,3,"https://api.github.com/repos/deeppavlov/DeepPavlov/issues/1479, https://api.github.com/repos/explosion/thinc/issues/496, https://api.github.com/repos/explosion/thinc/issues/622"
golang:go,"CVE-2021-29923, CVE-2022-27664, CVE-2022-41723, CVE-2023-24534, CVE-2023-24536, CVE-2023-24537, CVE-2023-24538, CVE-2023-24540, CVE-2023-29402, CVE-2023-29403, CVE-2023-29404, CVE-2023-29405, CVE-2023-29406",13,"high, critical, medium",8,"https://api.github.com/repos/SeldonIO/seldon-core/issues/5095, https://api.github.com/repos/argoproj/argo-workflows/issues/11023, https://api.github.com/repos/kubeflow/katib/issues/2094, https://api.github.com/repos/mlrun/mlrun/issues/2016, https://api.github.com/repos/argoproj/argo-workflows/issues/11538, https://api.github.com/repos/argoproj/argo-workflows/issues/10811, https://api.github.com/repos/kubeflow/pipelines/issues/8786, https://api.github.com/repos/kubeflow/katib/issues/2093"
alpinelinux:apk-tools,CVE-2021-30139,1,high,1,https://api.github.com/repos/kubeflow/pipelines/issues/8943
redis:redis,"CVE-2021-32626, CVE-2022-24735, CVE-2022-3647",3,"high, low",1,https://api.github.com/repos/LibrePhotos/librephotos/issues/681
ws_project:ws,CVE-2021-32640,1,medium,1,https://api.github.com/repos/guess-js/guess/issues/506
tiangolo:fastapi,CVE-2021-32677,1,high,1,https://api.github.com/repos/deeppavlov/DeepPavlov/issues/1479
tar_project:tar,"CVE-2021-32803, CVE-2021-32804",2,high,1,https://api.github.com/repos/guess-js/guess/issues/515
sqlparse_project:sqlparse,CVE-2021-32839,1,high,1,https://api.github.com/repos/jonaswinkler/paperless-ng/issues/1448
normalize-url_project:normalize-url,CVE-2021-33502,1,high,2,"https://api.github.com/repos/netdata/netdata/issues/11304, https://api.github.com/repos/jupyterlab/jupyterlab/issues/10548"
css-what_project:css-what,CVE-2021-33587,1,high,1,https://api.github.com/repos/xorbitsai/inference/issues/1651
trim-newlines_project:trim-newlines,CVE-2021-33623,1,high,1,https://api.github.com/repos/elyra-ai/elyra/issues/2575
feep:libtar,"CVE-2021-33643, CVE-2021-33644, CVE-2021-33645, CVE-2021-33646",4,"high, critical",1,https://api.github.com/repos/NVIDIA/DALI/issues/4245
websockets_project:websockets,CVE-2021-33880,1,medium,1,https://api.github.com/repos/RasaHQ/rasa/issues/9519
apache:commons_compress,CVE-2021-35515,1,high,1,https://api.github.com/repos/h2oai/h2o-3/issues/6595
nettle_project:nettle,CVE-2021-3580,1,high,1,https://api.github.com/repos/RasaHQ/rasa/issues/9004
mit:kerberos_5,"CVE-2021-36222, CVE-2021-37750, CVE-2022-42898",3,"high, medium",2,"https://api.github.com/repos/jonaswinkler/paperless-ng/issues/1448, https://api.github.com/repos/triton-inference-server/server/issues/5383"
libssh:libssh,CVE-2021-3634,1,medium,1,https://api.github.com/repos/jonaswinkler/paperless-ng/issues/1448
axios:axios,CVE-2021-3749,1,high,2,"https://api.github.com/repos/kubeflow/pipelines/issues/7698, https://api.github.com/repos/kubeflow/pipelines/issues/7521"
npmjs:tar,CVE-2021-37701,1,high,1,https://api.github.com/repos/guess-js/guess/issues/515
tmpl_project:tmpl,CVE-2021-3777,1,high,1,https://api.github.com/repos/guess-js/guess/issues/525
artifex:ghostscript,CVE-2021-3781,1,critical,1,https://api.github.com/repos/jonaswinkler/paperless-ng/issues/1448
nth-check_project:nth-check,CVE-2021-3803,1,high,2,"https://api.github.com/repos/xorbitsai/inference/issues/1651, https://api.github.com/repos/LibrePhotos/librephotos/issues/681"
ansi-regex_project:ansi-regex,CVE-2021-3807,1,high,5,"https://api.github.com/repos/guess-js/guess/issues/559, https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/guess-js/guess/issues/529, https://api.github.com/repos/kubeflow/kubeflow/issues/7102, https://api.github.com/repos/Xtremilicious/projectlearn-project-based-learning/issues/36"
json-schema_project:json-schema,CVE-2021-3918,1,critical,1,https://api.github.com/repos/guess-js/guess/issues/543
docker:command_line_interface,CVE-2021-41092,1,high,1,https://api.github.com/repos/kubeflow/katib/issues/1888
openbsd:libressl,CVE-2021-41581,1,medium,1,https://api.github.com/repos/kubeflow/pipelines/issues/8943
vim:vim,"CVE-2021-4166, CVE-2021-4192, CVE-2022-0213, CVE-2022-0261, CVE-2022-0318, CVE-2022-0351, CVE-2022-0359, CVE-2022-0361, CVE-2022-0368, CVE-2022-0408, CVE-2022-0413, CVE-2022-0554, CVE-2022-0572, CVE-2022-0629, CVE-2022-0685, CVE-2022-0714, CVE-2022-1629, CVE-2022-1674, CVE-2022-1720, CVE-2022-1851, CVE-2022-1927, CVE-2022-1942, CVE-2022-1968, CVE-2022-2175, CVE-2022-2183, CVE-2022-2304, CVE-2022-2343, CVE-2022-2344, CVE-2022-2345, CVE-2022-2571, CVE-2022-2923, CVE-2022-2946, CVE-2022-2980, CVE-2022-47024, CVE-2023-0049, CVE-2023-0054, CVE-2023-0288, CVE-2023-0433",38,"high, medium, critical",1,https://api.github.com/repos/triton-inference-server/server/issues/5383
async_project:async,CVE-2021-43138,1,high,1,https://api.github.com/repos/guess-js/guess/issues/558
arm:mbed_tls,CVE-2021-44732,1,critical,1,https://api.github.com/repos/JuliaLang/julia/issues/43677
substack:minimist,CVE-2021-44906,1,critical,3,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102, https://api.github.com/repos/guess-js/guess/issues/535"
ultrajson_project:ultrajson,CVE-2021-45958,1,medium,1,https://api.github.com/repos/catboost/catboost/issues/2590
digitalbazaar:forge,"CVE-2022-0122, CVE-2022-24771, CVE-2022-24772, CVE-2022-24773",4,"high, medium",4,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102, https://api.github.com/repos/guess-js/guess/issues/547, https://api.github.com/repos/elyra-ai/elyra/issues/2575"
node-fetch_project:node-fetch,CVE-2022-0235,1,medium,3,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102, https://api.github.com/repos/guess-js/guess/issues/546"
unzip_project:unzip,CVE-2022-0530,1,medium,2,"https://api.github.com/repos/open-metadata/OpenMetadata/issues/3134, https://api.github.com/repos/open-metadata/OpenMetadata/issues/3127"
parse-path_project:parse-path,CVE-2022-0624,1,high,1,https://api.github.com/repos/guess-js/guess/issues/562
parse-url_project:parse-url,"CVE-2022-0722, CVE-2022-2216, CVE-2022-2217, CVE-2022-2218, CVE-2022-2900, CVE-2022-3224",6,"high, critical, medium",2,"https://api.github.com/repos/guess-js/guess/issues/563, https://api.github.com/repos/LibrePhotos/librephotos/issues/681"
libtiff:libtiff,"CVE-2022-0891, CVE-2022-0907, CVE-2022-0908, CVE-2022-0909, CVE-2022-0924, CVE-2022-2519, CVE-2022-2520, CVE-2022-2521, CVE-2022-2953",9,"high, medium",2,"https://api.github.com/repos/NVIDIA/DALI/issues/4245, https://api.github.com/repos/NVIDIA/DALI/issues/3752"
google:protobuf-cpp,CVE-2022-1941,1,high,1,https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031
go-restful_project:go-restful,CVE-2022-1996,1,critical,1,https://api.github.com/repos/SeldonIO/seldon-core/issues/4943
nanohttpd:nanohttpd,CVE-2022-21230,1,medium,1,https://api.github.com/repos/h2oai/h2o-3/issues/6595
prometheus:client_golang,CVE-2022-21698,1,high,1,https://api.github.com/repos/kserve/kserve/issues/3361
microsoft:windows_server_2019,CVE-2022-21907,1,critical,1,https://api.github.com/repos/nmap/nmap/issues/2447
vmware:spring_security,CVE-2022-22978,1,critical,1,https://api.github.com/repos/Vedenin/useful-java-links/issues/129
certifi_project:certifi,CVE-2022-23491,1,high,4,"https://api.github.com/repos/microsoft/qlib/issues/1399, https://api.github.com/repos/capitalone/DataProfiler/issues/737, https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031, https://api.github.com/repos/mosaicml/composer/issues/2007"
gitpython_project:gitpython,"CVE-2022-24439, CVE-2023-40267",2,critical,2,"https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031, https://api.github.com/repos/kedro-org/kedro/issues/4005"
qs_project:qs,CVE-2022-24999,1,high,3,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102, https://api.github.com/repos/guess-js/guess/issues/573"
mongoosejs:mongoose,"CVE-2022-2564, CVE-2023-3696",2,critical,1,https://api.github.com/repos/guess-js/guess/issues/572
google:gson,CVE-2022-25647,1,high,2,"https://api.github.com/repos/h2oai/h2o-3/issues/6978, https://api.github.com/repos/h2oai/h2o-3/issues/6220"
terser:terser,CVE-2022-25858,1,high,1,https://api.github.com/repos/guess-js/guess/issues/564
protobufjs_project:protobufjs,CVE-2022-25878,1,high,4,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102, https://api.github.com/repos/kubeflow/pipelines/issues/7957, https://api.github.com/repos/kubeflow/pipelines/issues/7829"
http-cache-semantics_project:http-cache-semantics,CVE-2022-25881,1,high,1,https://api.github.com/repos/guess-js/guess/issues/570
apostrophecms:sanitize-html,CVE-2022-25887,1,high,1,https://api.github.com/repos/jupyterlab/jupyterlab/issues/13486
cookiejar_project:cookiejar,CVE-2022-25901,1,high,1,https://api.github.com/repos/guess-js/guess/issues/568
golang:ssh,CVE-2022-27191,1,high,1,https://api.github.com/repos/kubeflow/katib/issues/1875
ejs:ejs,CVE-2022-29078,1,critical,1,https://api.github.com/repos/elyra-ai/elyra/issues/2575
npmjs:npm,CVE-2022-29244,1,high,2,"https://api.github.com/repos/kubeflow/pipelines/issues/7830, https://api.github.com/repos/kubeflow/pipelines/issues/7885"
momentjs:moment,CVE-2022-31129,1,high,2,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102"
golang:text,CVE-2022-32149,1,high,2,"https://api.github.com/repos/kubeflow/katib/issues/2093, https://api.github.com/repos/kubeflow/katib/issues/2094"
got_project:got,CVE-2022-33987,1,medium,2,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102"
google:protobuf-javalite,CVE-2022-3509,1,high,1,https://api.github.com/repos/ray-project/ray/issues/37316
minimatch_project:minimatch,CVE-2022-3517,1,high,3,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102, https://api.github.com/repos/guess-js/guess/issues/567"
webpack.js:loader-utils,"CVE-2022-37599, CVE-2022-37601, CVE-2022-37603",3,"high, critical",2,"https://api.github.com/repos/guess-js/guess/issues/566, https://api.github.com/repos/LibrePhotos/librephotos/issues/681"
elastic:kibana,CVE-2022-38778,1,medium,2,"https://api.github.com/repos/kubeflow/kubeflow/issues/7098, https://api.github.com/repos/kubeflow/kubeflow/issues/7102"
decode-uri-component_project:decode-uri-component,CVE-2022-38900,1,high,1,https://api.github.com/repos/guess-js/guess/issues/569
jettison_project:jettison,"CVE-2022-40150, CVE-2022-45685, CVE-2022-45693, CVE-2023-1436",4,high,3,"https://api.github.com/repos/h2oai/h2o-3/issues/6826, https://api.github.com/repos/h2oai/h2o-3/issues/6831, https://api.github.com/repos/h2oai/h2o-3/issues/6827"
fortinet:fortiswitchmanager,CVE-2022-40684,1,critical,1,https://api.github.com/repos/nmap/nmap/issues/2546
python:setuptools,CVE-2022-40897,1,medium,1,https://api.github.com/repos/apache/airflow/issues/29428
pythoncharmers:python-future,CVE-2022-40899,1,high,2,"https://api.github.com/repos/capitalone/DataProfiler/issues/745, https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031"
golang:h2c,CVE-2022-41721,1,high,1,https://api.github.com/repos/kubeflow/katib/issues/2094
apache:commons_text,CVE-2022-42889,1,critical,1,https://api.github.com/repos/h2oai/h2o-3/issues/6420
pytest:py,CVE-2022-42969,1,high,1,https://api.github.com/repos/OpenBB-finance/OpenBB/issues/4031
heimdal_project:heimdal,CVE-2022-45142,1,high,1,https://api.github.com/repos/triton-inference-server/server/issues/5383
json5:json5,CVE-2022-46175,1,high,1,https://api.github.com/repos/guess-js/guess/issues/571
gnu:gnutls,CVE-2023-0361,1,high,1,https://api.github.com/repos/triton-inference-server/server/issues/5383
git-scm:git,"CVE-2023-22490, CVE-2023-23946",2,"high, medium",1,https://api.github.com/repos/triton-inference-server/server/issues/5383
redhat:openshift_container_platform,CVE-2023-2253,1,medium,2,"https://api.github.com/repos/argoproj/argo-workflows/issues/11554, https://api.github.com/repos/argoproj/argo-workflows/issues/11538"
follow-redirects:follow_redirects,CVE-2023-26159,1,medium,1,https://api.github.com/repos/xorbitsai/inference/issues/1651
vega-functions_project:vega-functions,"CVE-2023-26486, CVE-2023-26487",2,medium,1,https://api.github.com/repos/gradio-app/gradio/issues/7537
encode:starlette,CVE-2023-30798,1,high,1,https://api.github.com/repos/Lightning-AI/pytorch-lightning/issues/17563
grpc:grpc,"CVE-2023-32731, CVE-2023-33953",2,high,2,"https://api.github.com/repos/ray-project/ray/issues/37398, https://api.github.com/repos/kserve/kserve/issues/3157"
aiohttp:aiohttp,"CVE-2023-37276, CVE-2023-47627, CVE-2023-49082, CVE-2024-23334, CVE-2024-23829",5,"high, medium",3,"https://api.github.com/repos/kserve/kserve/issues/3157, https://api.github.com/repos/mlrun/mlrun/issues/4886, https://api.github.com/repos/kserve/kserve/issues/3441"
kennethreitz:certifi,CVE-2023-37920,1,critical,1,https://api.github.com/repos/kserve/kserve/issues/3157
paddlepaddle:paddlepaddle,"CVE-2023-38674, CVE-2023-38676, CVE-2023-38677, CVE-2023-38678, CVE-2023-52302, CVE-2023-52303, CVE-2023-52304, CVE-2023-52305, CVE-2023-52306, CVE-2023-52307, CVE-2023-52308, CVE-2023-52309, CVE-2023-52310, CVE-2023-52311, CVE-2023-52312, CVE-2023-52313, CVE-2023-52314",17,"high, critical",1,https://api.github.com/repos/kserve/kserve/issues/3441
python:urllib3,"CVE-2023-43804, CVE-2023-45803",2,"high, medium",1,https://api.github.com/repos/capitalone/DataProfiler/issues/1049
postcss:postcss,CVE-2023-44270,1,medium,1,https://api.github.com/repos/gradio-app/gradio/issues/7536
ietf:http,CVE-2023-44487,1,high,2,"https://api.github.com/repos/h2oai/h2o-3/issues/16294, https://api.github.com/repos/h2oai/h2o-3/issues/16298"
opentelemetry:opentelemetry,CVE-2023-45142,1,high,1,https://api.github.com/repos/kserve/kserve/issues/3361
apache:pyarrow,CVE-2023-47248,1,critical,7,"https://api.github.com/repos/flyteorg/flyte/issues/4465, https://api.github.com/repos/kedro-org/kedro/issues/3367, https://api.github.com/repos/capitalone/DataProfiler/issues/1062, https://api.github.com/repos/huggingface/datasets/issues/6404, https://api.github.com/repos/feast-dev/feast/issues/3832, https://api.github.com/repos/feast-dev/feast/issues/3866, https://api.github.com/repos/ray-project/ray/issues/41314"
anyscale:ray,CVE-2023-48023,1,critical,1,https://api.github.com/repos/kserve/kserve/issues/3285
knative:serving,CVE-2023-48713,1,medium,1,https://api.github.com/repos/kserve/kserve/issues/3442
redhat:ansible_automation_platform,CVE-2023-50782,1,high,1,https://api.github.com/repos/kserve/kserve/issues/3441
h2o:h2o,"CVE-2023-6016, CVE-2023-6038, CVE-2023-6569",3,"high, critical",1,https://api.github.com/repos/h2oai/h2o-3/issues/16341
ray_project:ray,"CVE-2023-6019, CVE-2023-6020",2,"high, critical",1,https://api.github.com/repos/kserve/kserve/issues/3285
huggingface:transformers,"CVE-2023-6730, CVE-2023-7018",2,high,1,https://api.github.com/repos/kserve/kserve/issues/3441
paddlepaddle:paddle,CVE-2024-0521,1,high,1,https://api.github.com/repos/kserve/kserve/issues/3441
github:cmark-gfm,CVE-2024-22051,1,critical,1,https://api.github.com/repos/PaddlePaddle/Paddle/issues/65906
