Index,CVE,title,repository,date,Issue_ID
1205,CVE-2019-14322,Create http-vuln-cve2019-14322.nse,nmap/nmap,2021-05-17T11:38:23Z,https://api.github.com/repos/nmap/nmap/issues/2308
1208,CVE-2020-14882,CVE-2020-14882 - WebLogic unauthenticated RCE (weblogic-cve-2020-14882.nse),nmap/nmap,2020-11-03T21:56:50Z,https://api.github.com/repos/nmap/nmap/issues/2169
1210,CVE-2017-9805,Created http-vuln-cve2017-9805.nse,nmap/nmap,2019-08-27T03:54:40Z,https://api.github.com/repos/nmap/nmap/issues/1712
1211,CVE-2018-13379,Fortinet SSL VPN CVE-2018-13379 vuln scanner,nmap/nmap,2019-08-23T19:44:43Z,https://api.github.com/repos/nmap/nmap/issues/1709
1212,CVE-2019-11510,Added http-vuln-cve2019-11510.nse,nmap/nmap,2019-08-23T18:19:04Z,https://api.github.com/repos/nmap/nmap/issues/1708
1216,CVE-2017-0143,"New script arg vulns.short applies to XML output, contrary to a comment",nmap/nmap,2019-02-14T13:22:02Z,https://api.github.com/repos/nmap/nmap/issues/1472
1218,CVE-2017-9805,Created http-vuln-cve2017-9805.nse,nmap/nmap,2019-02-06T16:27:55Z,https://api.github.com/repos/nmap/nmap/issues/1463
1221,CVE-2019-1652,Adds script for CVE-2019-1652 Cisco router remote command execution vulnerability,nmap/nmap,2019-02-05T08:47:54Z,https://api.github.com/repos/nmap/nmap/issues/1459
1222,CVE-2014-0683,Adds script for CVE-2015-6396 Cisco device remote command execution vulnerability,nmap/nmap,2019-01-31T22:03:15Z,https://api.github.com/repos/nmap/nmap/issues/1452
1222,CVE-2015-6396,Adds script for CVE-2015-6396 Cisco device remote command execution vulnerability,nmap/nmap,2019-01-31T22:03:15Z,https://api.github.com/repos/nmap/nmap/issues/1452
1225,CVE-2018-7600,"Script for Drupal 7.x, 8.x remote code execution vulnerability",nmap/nmap,2018-11-21T21:48:09Z,https://api.github.com/repos/nmap/nmap/issues/1395
1226,CVE-2018-9206,Script for unauthenticated arbitrary file upload vulnerability in Blueimp jQuery-File-Upload,nmap/nmap,2018-11-05T22:44:56Z,https://api.github.com/repos/nmap/nmap/issues/1383
1227,CVE-2018-10823,Add script for D-Link router shell command injection vulnerability,nmap/nmap,2018-10-31T08:52:38Z,https://api.github.com/repos/nmap/nmap/issues/1377
1228,CVE-2018-10822,Add script for D-Link router directory traversal vulnerability,nmap/nmap,2018-10-31T08:47:07Z,https://api.github.com/repos/nmap/nmap/issues/1376
1234,CVE-2018-8733,initial commit for vulnerable nagiosxi detect http-vuln-cve2018-8735,nmap/nmap,2018-04-26T19:51:00Z,https://api.github.com/repos/nmap/nmap/issues/1202
1234,CVE-2018-8734,initial commit for vulnerable nagiosxi detect http-vuln-cve2018-8735,nmap/nmap,2018-04-26T19:51:00Z,https://api.github.com/repos/nmap/nmap/issues/1202
1234,CVE-2018-8736,initial commit for vulnerable nagiosxi detect http-vuln-cve2018-8735,nmap/nmap,2018-04-26T19:51:00Z,https://api.github.com/repos/nmap/nmap/issues/1202
1234,CVE-2018-8735,initial commit for vulnerable nagiosxi detect http-vuln-cve2018-8735,nmap/nmap,2018-04-26T19:51:00Z,https://api.github.com/repos/nmap/nmap/issues/1202
1241,CVE-2017-5689,Script http-vuln-cve2017-5689.nse returns wrong results against SSL ports.,nmap/nmap,2017-11-13T18:12:15Z,https://api.github.com/repos/nmap/nmap/issues/1066
1261,CVE-2009-3103,Missing output / not working script smb-check-vulns,nmap/nmap,2015-06-07T17:49:48Z,https://api.github.com/repos/nmap/nmap/issues/156
1265,CVE-2014-8877,Add script for detecting and exploiting vulnerability in Wordpress CM Do...,nmap/nmap,2015-01-02T10:55:13Z,https://api.github.com/repos/nmap/nmap/issues/38
1266,CVE-2023-40267,Fix vulnerability in Gitpython,kedro-org/kedro,2024-07-11T12:37:56Z,https://api.github.com/repos/kedro-org/kedro/issues/4005
1271,CVE-2023-47248,Proper handling of pyarrow vulnerability CVE-2023-47248,kedro-org/kedro,2023-11-30T09:27:31Z,https://api.github.com/repos/kedro-org/kedro/issues/3367
1285,CVE-2017-16114,Fix security vulnerability for marked,doccano/doccano,2019-04-15T01:46:18Z,https://api.github.com/repos/doccano/doccano/issues/161
1316,CVE-2019-9635,Address security alert by upgrading TF,wandb/wandb,2019-05-14T21:46:15Z,https://api.github.com/repos/wandb/wandb/issues/333
1352,CVE-2021-45958,Potential OOB vulnerability may happen,catboost/catboost,2024-02-03T15:20:35Z,https://api.github.com/repos/catboost/catboost/issues/2590
1367,CVE-2022-22817,AWS ECR identifies vulnerability with Pillow version for Triton server image 23.07,triton-inference-server/server,2023-08-22T21:13:17Z,https://api.github.com/repos/triton-inference-server/server/issues/6222
1367,CVE-2022-24303,AWS ECR identifies vulnerability with Pillow version for Triton server image 23.07,triton-inference-server/server,2023-08-22T21:13:17Z,https://api.github.com/repos/triton-inference-server/server/issues/6222
1370,CVE-2023-0215,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-2345,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2020-27746,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-4450,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2021-31215,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2023-23946,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0261,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2021-4166,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0408,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-2980,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-2571,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-2304,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0685,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-1968,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0213,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-45142,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-2923,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2021-37750,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2023-23916,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-2175,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-2343,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-1851,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-1927,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-1674,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2021-31879,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0572,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2023-0361,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-1629,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0413,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0629,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2023-0433,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2021-36222,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-2946,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-29500,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2023-0049,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2020-12693,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2023-0054,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2020-27745,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2023-0286,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-2183,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0368,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0351,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0359,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2023-22490,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2023-0288,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-42898,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-1942,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-3821,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2016-1585,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-2344,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0361,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0554,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2020-13844,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0714,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-47024,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2021-4192,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0318,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-1720,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-0319,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1370,CVE-2022-4304,Reduce image size and increase build frequency to cut high/medium vulnerabilities in tritonserver docker images,triton-inference-server/server,2023-02-19T17:15:59Z,https://api.github.com/repos/triton-inference-server/server/issues/5383
1399,CVE-2022-22817,[WIP][security] Updated pillow to 9.0.1+,autogluon/autogluon,2022-03-16T23:38:49Z,https://api.github.com/repos/autogluon/autogluon/issues/1615
1399,CVE-2022-24303,[WIP][security] Updated pillow to 9.0.1+,autogluon/autogluon,2022-03-16T23:38:49Z,https://api.github.com/repos/autogluon/autogluon/issues/1615
1414,CVE-2024-29041,fix(deps): update dependency express to v4.19.2 [security],guess-js/guess,2024-03-26T05:14:57Z,https://api.github.com/repos/guess-js/guess/issues/579
1415,CVE-2022-24999,chore(deps): update dependency qs [security] - autoclosed,guess-js/guess,2023-03-16T21:59:17Z,https://api.github.com/repos/guess-js/guess/issues/573
1416,CVE-2022-24304,fix(deps): update dependency mongoose to v5.13.20 [security],guess-js/guess,2023-03-16T21:57:10Z,https://api.github.com/repos/guess-js/guess/issues/572
1416,CVE-2022-2564,fix(deps): update dependency mongoose to v5.13.20 [security],guess-js/guess,2023-03-16T21:57:10Z,https://api.github.com/repos/guess-js/guess/issues/572
1416,CVE-2023-3696,fix(deps): update dependency mongoose to v5.13.20 [security],guess-js/guess,2023-03-16T21:57:10Z,https://api.github.com/repos/guess-js/guess/issues/572
1417,CVE-2022-46175,chore(deps): update dependency json5 [security] - autoclosed,guess-js/guess,2023-03-16T21:50:58Z,https://api.github.com/repos/guess-js/guess/issues/571
1418,CVE-2022-25881,chore(deps): update dependency http-cache-semantics to 4.1.1 [security] - autoclosed,guess-js/guess,2023-03-16T21:48:46Z,https://api.github.com/repos/guess-js/guess/issues/570
1419,CVE-2022-38900,chore(deps): update dependency decode-uri-component to 0.2.1 [security] - autoclosed,guess-js/guess,2023-03-16T21:47:18Z,https://api.github.com/repos/guess-js/guess/issues/569
1420,CVE-2022-25901,chore(deps): update dependency cookiejar to 2.1.4 [security] - autoclosed,guess-js/guess,2023-03-16T21:45:51Z,https://api.github.com/repos/guess-js/guess/issues/568
1421,CVE-2022-3517,chore(deps): update dependency minimatch to 3.0.5 [security] - autoclosed,guess-js/guess,2022-11-20T14:35:26Z,https://api.github.com/repos/guess-js/guess/issues/567
1422,CVE-2022-37603,chore(deps): update dependency loader-utils [security] - autoclosed,guess-js/guess,2022-11-20T14:24:13Z,https://api.github.com/repos/guess-js/guess/issues/566
1422,CVE-2022-37601,chore(deps): update dependency loader-utils [security] - autoclosed,guess-js/guess,2022-11-20T14:24:13Z,https://api.github.com/repos/guess-js/guess/issues/566
1422,CVE-2022-37599,chore(deps): update dependency loader-utils [security] - autoclosed,guess-js/guess,2022-11-20T14:24:13Z,https://api.github.com/repos/guess-js/guess/issues/566
1423,CVE-2020-36604,chore(deps): update dependency @hapi/hoek to 8.5.1 [security] - autoclosed,guess-js/guess,2022-11-20T14:20:02Z,https://api.github.com/repos/guess-js/guess/issues/565
1424,CVE-2022-25858,chore(deps): update dependency terser to 4.8.1 [security] - autoclosed,guess-js/guess,2022-09-25T18:25:14Z,https://api.github.com/repos/guess-js/guess/issues/564
1425,CVE-2022-2218,chore(deps): update dependency parse-url to 8.1.0 [security] - autoclosed,guess-js/guess,2022-09-25T18:17:26Z,https://api.github.com/repos/guess-js/guess/issues/563
1425,CVE-2022-2900,chore(deps): update dependency parse-url to 8.1.0 [security] - autoclosed,guess-js/guess,2022-09-25T18:17:26Z,https://api.github.com/repos/guess-js/guess/issues/563
1425,CVE-2022-2216,chore(deps): update dependency parse-url to 8.1.0 [security] - autoclosed,guess-js/guess,2022-09-25T18:17:26Z,https://api.github.com/repos/guess-js/guess/issues/563
1425,CVE-2022-2217,chore(deps): update dependency parse-url to 8.1.0 [security] - autoclosed,guess-js/guess,2022-09-25T18:17:26Z,https://api.github.com/repos/guess-js/guess/issues/563
1425,CVE-2022-3224,chore(deps): update dependency parse-url to 8.1.0 [security] - autoclosed,guess-js/guess,2022-09-25T18:17:26Z,https://api.github.com/repos/guess-js/guess/issues/563
1425,CVE-2022-0722,chore(deps): update dependency parse-url to 8.1.0 [security] - autoclosed,guess-js/guess,2022-09-25T18:17:26Z,https://api.github.com/repos/guess-js/guess/issues/563
1426,CVE-2022-0624,chore(deps): update dependency parse-path to 5.0.0 [security] - autoclosed,guess-js/guess,2022-09-25T18:14:05Z,https://api.github.com/repos/guess-js/guess/issues/562
1427,CVE-2021-20066,chore(deps): update dependency jsdom to 16.5.0 [security] - autoclosed,guess-js/guess,2022-06-23T19:17:01Z,https://api.github.com/repos/guess-js/guess/issues/560
1428,CVE-2021-3807,chore(deps): update dependency ansi-regex [security] - autoclosed,guess-js/guess,2022-06-18T20:00:14Z,https://api.github.com/repos/guess-js/guess/issues/559
1429,CVE-2021-43138,chore(deps): update dependency async to 2.6.4 [security] - abandoned,guess-js/guess,2022-05-15T20:21:24Z,https://api.github.com/repos/guess-js/guess/issues/558
1430,CVE-2020-7774,chore(deps): update dependency y18n to 4.0.1 [security] - autoclosed,guess-js/guess,2022-04-24T18:02:30Z,https://api.github.com/repos/guess-js/guess/issues/557
1431,CVE-2021-27290,chore(deps): update dependency ssri to 6.0.2 [security] - autoclosed,guess-js/guess,2022-04-24T17:57:34Z,https://api.github.com/repos/guess-js/guess/issues/556
1432,CVE-2020-7660,chore(deps): update dependency serialize-javascript to 3.1.0 [security] - autoclosed,guess-js/guess,2022-04-24T17:54:12Z,https://api.github.com/repos/guess-js/guess/issues/555
1433,CVE-2021-23343,chore(deps): update dependency path-parse to 1.0.7 [security] - autoclosed,guess-js/guess,2022-04-24T17:52:28Z,https://api.github.com/repos/guess-js/guess/issues/554
1434,CVE-2020-28469,chore(deps): update dependency glob-parent to 5.1.2 [security] - autoclosed,guess-js/guess,2022-04-24T17:40:55Z,https://api.github.com/repos/guess-js/guess/issues/553
1435,CVE-2020-28498,chore(deps): update dependency elliptic to 6.5.4 [security] - autoclosed,guess-js/guess,2022-04-24T17:39:13Z,https://api.github.com/repos/guess-js/guess/issues/552
1435,CVE-2020-13822,chore(deps): update dependency elliptic to 6.5.4 [security] - autoclosed,guess-js/guess,2022-04-24T17:39:13Z,https://api.github.com/repos/guess-js/guess/issues/552
1437,CVE-2021-23566,chore(deps): update dependency nanoid to 3.1.31 [security] - autoclosed,guess-js/guess,2022-03-21T17:34:29Z,https://api.github.com/repos/guess-js/guess/issues/550
1438,CVE-2020-15366,chore(deps): update dependency ajv to 6.12.3 [security] - autoclosed,guess-js/guess,2022-03-21T17:23:18Z,https://api.github.com/repos/guess-js/guess/issues/549
1439,CVE-2021-23425,chore(deps): update dependency trim-off-newlines to 1.0.3 [security] - autoclosed,guess-js/guess,2022-03-21T17:09:00Z,https://api.github.com/repos/guess-js/guess/issues/548
1440,CVE-2022-24771,chore(deps): update dependency node-forge to 1.3.0 [security] - abandoned,guess-js/guess,2022-03-21T17:03:08Z,https://api.github.com/repos/guess-js/guess/issues/547
1440,CVE-2022-24772,chore(deps): update dependency node-forge to 1.3.0 [security] - abandoned,guess-js/guess,2022-03-21T17:03:08Z,https://api.github.com/repos/guess-js/guess/issues/547
1440,CVE-2022-24773,chore(deps): update dependency node-forge to 1.3.0 [security] - abandoned,guess-js/guess,2022-03-21T17:03:08Z,https://api.github.com/repos/guess-js/guess/issues/547
1441,CVE-2022-0235,chore(deps): update dependency node-fetch to 2.6.7 [security] - autoclosed,guess-js/guess,2022-03-21T16:59:54Z,https://api.github.com/repos/guess-js/guess/issues/546
1442,CVE-2021-3918,chore(deps): update dependency json-schema to 0.4.0 [security] - autoclosed,guess-js/guess,2021-11-29T16:57:14Z,https://api.github.com/repos/guess-js/guess/issues/543
1443,CVE-2020-7774,chore(deps): update dependency y18n to 4.0.1 [security] - autoclosed,guess-js/guess,2021-11-28T01:44:45Z,https://api.github.com/repos/guess-js/guess/issues/542
1444,CVE-2021-27290,chore(deps): update dependency ssri to 6.0.2 [security] - autoclosed,guess-js/guess,2021-11-28T01:24:32Z,https://api.github.com/repos/guess-js/guess/issues/541
1445,CVE-2021-23440,chore(deps): update dependency set-value to 4.0.1 [security] - autoclosed,guess-js/guess,2021-11-28T01:22:04Z,https://api.github.com/repos/guess-js/guess/issues/540
1445,CVE-2019-10747,chore(deps): update dependency set-value to 4.0.1 [security] - autoclosed,guess-js/guess,2021-11-28T01:22:04Z,https://api.github.com/repos/guess-js/guess/issues/540
1446,CVE-2021-25949,chore(deps): update dependency set-getter to 0.1.1 [security] - autoclosed,guess-js/guess,2021-11-28T01:19:30Z,https://api.github.com/repos/guess-js/guess/issues/539
1447,CVE-2020-7660,chore(deps): update dependency serialize-javascript to 3.1.0 [security] - autoclosed,guess-js/guess,2021-11-28T01:17:05Z,https://api.github.com/repos/guess-js/guess/issues/538
1448,CVE-2020-7789,chore(deps): update dependency node-notifier to 8.0.1 [security] - autoclosed,guess-js/guess,2021-11-28T01:10:46Z,https://api.github.com/repos/guess-js/guess/issues/537
1449,CVE-2019-10746,chore(deps): update dependency mixin-deep to 1.3.2 [security] - autoclosed,guess-js/guess,2021-11-28T01:08:20Z,https://api.github.com/repos/guess-js/guess/issues/536
1450,CVE-2021-44906,chore(deps): update dependency minimist [security] - autoclosed,guess-js/guess,2021-11-28T01:05:56Z,https://api.github.com/repos/guess-js/guess/issues/535
1451,CVE-2021-26707,chore(deps): update dependency merge-deep to 3.0.3 [security] - autoclosed,guess-js/guess,2021-11-28T01:02:15Z,https://api.github.com/repos/guess-js/guess/issues/534
1452,CVE-2019-20149,chore(deps): update dependency kind-of to 6.0.3 [security] - autoclosed,guess-js/guess,2021-11-28T00:55:59Z,https://api.github.com/repos/guess-js/guess/issues/533
1453,CVE-2020-7788,chore(deps): update dependency ini to 1.3.6 [security] - autoclosed,guess-js/guess,2021-11-28T00:53:36Z,https://api.github.com/repos/guess-js/guess/issues/532
1454,CVE-2020-28469,chore(deps): update dependency glob-parent to 5.1.2 [security] - autoclosed,guess-js/guess,2021-11-28T00:51:03Z,https://api.github.com/repos/guess-js/guess/issues/531
1455,CVE-2020-28498,chore(deps): update dependency elliptic to 6.5.4 [security] - autoclosed,guess-js/guess,2021-11-28T00:47:21Z,https://api.github.com/repos/guess-js/guess/issues/530
1456,CVE-2021-3807,chore(deps): update dependency ansi-regex to 5.0.1 [security] - autoclosed,guess-js/guess,2021-11-28T00:44:49Z,https://api.github.com/repos/guess-js/guess/issues/529
1459,CVE-2021-3777,chore(deps): update dependency tmpl to 1.0.5 [security] - autoclosed,guess-js/guess,2021-10-19T00:37:07Z,https://api.github.com/repos/guess-js/guess/issues/525
1460,CVE-2018-16490,chore(deps): update dependency mpath to 0.8.4 [security] - autoclosed,guess-js/guess,2021-09-03T00:24:41Z,https://api.github.com/repos/guess-js/guess/issues/521
